iter	Passed	Remaining
0	279	27678
1	375	18405
2	457	14798
3	546	13122
4	630	11971
5	721	11310
6	831	11040
7	926	10659
8	1006	10181
9	1098	9890
10	1215	9838
11	1293	9482
12	1379	9233
13	1460	8970
14	1545	8755
15	1630	8562
16	1710	8351
17	1796	8185
18	1885	8036
19	1980	7920
20	2079	7822
21	2172	7703
22	2263	7578
23	2352	7449
24	2460	7382
25	2546	7247
26	2639	7137
27	2736	7037
28	2829	6927
29	2918	6808
30	3012	6705
31	3095	6577
32	3184	6465
33	3305	6417
34	3417	6346
35	3501	6225
36	3592	6116
37	3687	6015
38	3799	5942
39	3911	5867
40	4025	5792
41	4113	5680
42	4191	5556
43	4277	5444
44	4377	5350
45	4488	5268
46	4588	5173
47	4667	5056
48	4759	4953
49	4863	4863
50	4950	4756
51	5041	4653
52	5120	4541
53	5215	4442
54	5302	4338
55	5402	4245
56	5515	4160
57	5617	4067
58	5715	3971
59	5832	3888
60	5920	3785
61	6010	3683
62	6090	3576
63	6175	3473
64	6259	3370
65	6346	3269
66	6427	3165
67	6504	3061
68	6585	2958
69	6673	2859
70	6751	2757
71	6845	2662
72	6946	2569
73	7064	2482
74	7177	2392
75	7299	2304
76	7390	2207
77	7465	2105
78	7551	2007
79	7646	1911
80	7761	1820
81	7897	1733
82	8021	1642
83	8109	1544
84	8185	1444
85	8280	1348
86	8369	1250
87	8440	1150
88	8524	1053
89	8598	955
90	8681	858
91	8781	763
92	8868	667
93	8949	571
94	9038	475
95	9117	379
96	9195	284
97	9290	189
98	9385	94
99	9484	0
